gene,fold change,p value
SLC35B4,-0.8,1.93E-08
SYCE1L,-0.1,0.89869899
FAM71F2,0.3,0.529667691
CCNI2,0.8,0.005964989
TMEM240,-0.8,0.068692506
HSP90AA4P,-1,0.196150345
LINC02716,1.3,0.001979185
CDKL4,0.1,0.883117158
TMEM88B,0.1,0.895617414
C4orf47,0.6,0.043983802
TRIQK,-0.1,0.807473958
SDHAF1,-0.8,0.011264968
ARID3C,-1.6,0.007706018
PSENEN,0.2,0.37139049
LINC00654,-0.4,0.266692458
ZBTB10,1,0.01291909
C4orf46,0.6,0.119255231
SCGB2B2,-0.3,0.469155373
CCDC144NL,0.5,0.396048834
LGR4,1,0.056004465
PSMB10,0.3,0.61723753
VIT,-1,0.019972046
E2F4,-0.2,0.28337059
TMEM170B,0.1,0.766725303
TRBV20OR9-2,-1,0.201029236
MUC12,-1.3,0.001543197
CTXN3,-1.4,0.005568644
SNX2,0.1,0.401769258
NT5M,-0.7,2.45E-04
SARNP,1.1,0.076673612
LINC01460,-0.6,0.505906009
ADGRG1,1.1,0.016229953
IPO7,0.2,0.583947377
PRR13,-0.2,0.485496363
TECPR1,-0.4,0.276838069
MT1H,1.2,0.086202802
MT1DP,0.2,0.834558839
MT1A,2.4,5.66E-12
INSYN1,-0.6,0.088100832
MT1M,1.7,3.49E-06
CFI,2.3,3.06E-05
SAMD9,0.7,0.06432237
ENSG00000205414,0.8,0.349244761
CNEP1R1,0.1,0.891577664
PCBP3-AS1,0.8,0.32334822
KRT81,-1,0.046821552
TP53TG3D,-1.3,0.105129915
ATP6AP1L,0.8,0.006527294
CCDC85C,0.5,0.103520974
SPDYE18,-0.4,0.580315833
ENSG00000205485,-0.6,0.044407531
CALML3-AS1,-1.6,0.00332555
MAPRE3-AS1,0.8,0.220756203
C2CD4B,1.2,0.052837289
RGL3,1.9,5.19E-08
NAP1L4,0.1,0.540692845
TMSB4X,0.3,0.002955925
TMEM256,0.2,0.491051124
CHKB-DT,-0.1,0.845774488
CPT1B,0.8,0.130608226
ENSG00000205562,-1.8,1.23E-08
SMN2,0.4,0.648897883
SERF1B,-0.8,0.285370087
POM121B,0.4,0.685303345
HMGN1,0.7,0.00475981
STAG3L1,-0.5,0.483323261
MUC19,0.5,0.431816801
DENND6B,-0.7,0.061524826
EIF3CL,0.9,0.240998505
LINC01597,-0.7,0.238082498
ENSG00000205622,-1.4,0.031739036
LCMT1,-0.9,8.28E-04
LINC01310,-0.8,0.069295737
LINC00898,-3.6,2.60E-11
CDPF1,0.1,0.836902381
LIN52,-0.2,0.221859935
ACOT6,-0.8,0.158235353
DPF3,1.2,1.76E-04
MANSC4,0.5,0.591192773
ADARB2-AS1,1,0.10708237
CYP2D7,0.6,0.033474685
LINC00634,-0.6,0.081345725
ETFRF1,0.8,0.048527081
C17orf107,-0.9,0.044725105
ITSN1,-0.1,0.370531753
ITPRIPL2,1.1,0.0132758
ENSG00000205740,-0.5,0.357982916
DENND1C,0.7,0.193480259
PKD1P4,-1,0.069806193
CRLF2,0.5,0.501377861
CRYZL1,0.2,0.444593127
RP9P,-0.1,0.780619927
C5orf51,0.5,0.101523449
CATSPER2P1,0.6,0.110082756
ARRDC5,0.1,0.902890006
DPP9-AS1,1.3,0.012103325
LOH12CR2,0.5,0.125202585
ENSG00000205794,-1.6,0.016881378
PLPP6,-0.4,0.01044256
KLRC2,1.6,0.043791944
KLRC3,0.9,0.191062874
C16orf96,0.6,0.097435002
GMNC,-0.8,0.296979499
LINC00487,0.4,0.617334336
RFPL3S,0.8,0.142855311
C1QTNF9B,1.3,0.115143818
KRTAP5-1,-0.1,0.888729307
RPS3AP47,0.8,0.322802559
C1RL-AS1,-0.2,0.770250935
ENSG00000205890,-1.8,0.018513885
ENSG00000205898,0.9,0.238837476
BHLHA9,-1.8,0.002551288
ZNF316,-0.1,0.875385406
PDPK2P,-1.8,0.008148096
OLIG2,1.4,1.43E-04
C21orf62,1.7,0.018887571
C21orf62-AS1,1.7,3.80E-06
RNPS1,-0.6,0.005225048
HSP90AB2P,-0.5,0.206017088
HSP90AA5P,0.5,0.522212446
ENSG00000205959,-0.4,0.15405765
ENSG00000205976,-1.3,0.092067177
NYNRIN,0.6,0.094008076
DNAJC19,-0.3,0.115109163
SMIM21,0.1,0.935662161
ENSG00000206028,-0.4,0.571289141
DOK6,-0.5,0.206111774
JPT2,1.4,2.62E-06
TMEM211,-0.7,0.404195058
ZDHHC11B,0.6,0.071437651
EGFEM1P,0.4,0.424690975
ENSG00000206129,0.3,0.758229402
TMEM191C,-0.5,0.165951655
P2RX6P,-1.4,4.68E-04
RPL23AP57,0.3,0.743323079
HERC2P9,0.3,0.45441443
GYG2P1,-1,0.174877618
ENSG00000206168,-1.3,0.120451277
HBA1,2,0.006893974
HBM,1.8,0.018158727
ELOA2,0.7,0.447117069
LINC02346,0.1,0.881163709
ATP10A,0.4,0.405615099
DUXAP8,-0.6,0.358919435
FOXL2NB,0.1,0.946007613
HCP5,1.5,9.50E-06
HLA-H,0.6,0.148882542
HCG27,0.6,0.033826464
COL6A6,0.3,0.571760002
RAB12,-0.4,0.059956595
TMEM200C,-0.3,0.218762519
HLA-A,1.4,1.15E-18
HACD2,0.4,0.234058463
CFAP44,-0.6,8.29E-05
ENSG00000206532,-0.7,0.162424393
LNP1,-1.4,2.07E-08
VGLL3,0.7,0.234211424
TRIM71,-0.1,0.885641647
ZCWPW2,-0.1,0.878196477
ANKRD28,0.3,0.304414452
COLQ,-1,1.76E-06
METTL6,-0.3,0.038967836
ENSG00000206567,0.1,0.740832248
THUMPD3-AS1,0.3,0.372764775
XKR4,-0.4,0.188391776
RNU6-945P,1.5,0.064206111
Y_RNA,0.6,0.489199292
RNU6-418P,-0.6,0.407946262
Y_RNA,-0.1,0.867160267
Y_RNA,0.6,0.473016801
RNVU1-30,1.2,0.093536623
SNORA5A,1,0.173678179
ENSG00000206878,-0.2,0.869900894
RNU6-1200P,0.7,0.433476215
ENSG00000206913,0.6,0.512467187
RNU6-514P,1.2,0.142853692
RNU6-610P,0.3,0.792644669
RNU6-611P,1,0.191995075
SNORD59A,-0.3,0.721606359
SNORA7B,-0.5,0.590295124
RNU6-729P,-1.4,0.073882909
RNA5SP187,0.5,0.565557693
SNORD116-13,-0.1,0.926393111
Y_RNA,1.6,0.034106414
RNU1-67P,1.3,0.123624976
SNORA14B,-0.5,0.536222128
SNORD116-12,-0.3,0.726368375
RNU6-45P,-0.4,0.697081162
SNORD116-16,-1.5,0.049420308
SNORD116-24,-1.8,0.017590036
RNU6-30P,0.4,0.644503123
RNU6-883P,0.2,0.884761014
RNVU1-1,-0.4,0.648830569
RNU6-2,0.4,0.687181065
RNU6-178P,-0.5,0.554908129
Y_RNA,0.7,0.36551514
Y_RNA,1.1,0.076639306
RNU6-476P,0.9,0.307727947
SNORA66,-0.6,0.473261854
MIR25,0.5,0.513444976
MIR647,1.3,0.011591053
MIR635,-0.7,0.268633958
MIR149,-1.6,0.023084876
MIR641,0.9,0.196233978
MIR570,0.7,0.26465358
MIR621,-0.1,0.844009865
MIR573,1.2,0.077212006
MIR657,0.8,0.292983136
MIR590,0.6,0.464560164
MIR648,0.1,0.961934861
MIR26A2,0.1,0.904557279
MIR124-2,-2,0.009536047
MIR221,-0.8,0.365320581
ENSG00000207955,1.6,2.42E-04
MIR616,0.7,0.39654231
SNORD94,-0.5,0.426390945
SNORD12C,0.7,0.437582907
MT-TL1,2.3,1.86E-05
MT-TF,1.4,0.005828093
MT-TV,2.3,4.50E-05
MT-RNR2,2,8.83E-05
MT-TI,2.2,5.38E-04
MT-TM,2,7.16E-04
MT-TW,1,0.160884954
MT-TA,2.7,1.78E-04
MT-TC,1.3,0.098631509
MT-TY,1.5,0.067088623
MT-TD,1.5,0.02762023
MT-TG,1.7,0.021963866
MT-TR,1.9,0.013202818
MT-TH,2.4,1.84E-05
MT-TL2,1.9,0.002030455
MT-TE,1.6,0.037085023
MT-TT,1.1,0.090794226
MT-TP,1.4,0.011497599
GPX3,-0.9,0.009446971
DIO2,0.9,0.186564816
SELENOH,-0.7,0.060382473
GNRHR2,-1,3.53E-04
DIO1,1,0.167465947
AKR7L,-0.4,0.321129423
STK38L,0.1,0.74005437
SACM1L,-0.4,0.027361713
MT-RNR1,1.5,9.23E-04
TSN,0.1,0.839029845
SLC48A1,0.5,0.017939445
IGKC,0.5,0.420112182
IGLV5-52,-0.3,0.489394224
IGLV1-51,-0.3,0.701564542
TRGC1,1.5,0.003494263
TRGV9,2.1,0.004490006
TRBC1,-1,0.079297675
TRBJ2-2P,-1.7,0.025818043
TRBJ2-3,-1.1,0.190736435
TRBC2,-1.8,2.10E-05
TRDC,-0.6,0.434674179
IGHG4,1.8,0.018247221
IGHG1,1.5,0.043887084
IGHM,-0.3,0.761154503
MIR543,-0.5,0.615401836
PRR22,-0.1,0.869949075
TAS2R19,0.6,0.45076848
TAS2R15P,-0.5,0.258803296
TAS2R14,0.8,0.124787186
U3,0.8,0.33179792
RNU6-1321P,0.6,0.392944052
SNORD17,-0.3,0.742561153
RNU6-930P,-1.1,0.184475713
RNA5SP219,0.3,0.728796887
SNORD89,-0.2,0.779567446
ENSG00000212371,0.5,0.50934002
SNORD115-45,-0.9,0.202135994
SNORA53,-0.3,0.773000732
RNU6-460P,-0.3,0.702699342
SNORD19,0.6,0.442199696
RNA5SP474,0.1,0.952407157
Y_RNA,0.4,0.642956922
ENSG00000212579,0.3,0.79102864
SNORA26,1,0.15798039
SNORA3B,0.1,0.929074717
ENSG00000212663,1.2,0.135803903
ENSG00000212664,0.9,0.292073984
LINC01089,0.9,8.80E-08
LINC02693,-0.8,0.007536987
LINC02656,1.4,0.011890112
RTL8B,0.2,0.419917451
EWSAT1,-1.2,0.008501616
RPL15P3,0.1,0.83524392
RPS26P3,0.1,0.95957387
RNF208,-0.9,0.007345352
MT-ND4L,1.6,0.001589694
MAP10,-1.5,3.06E-05
ENSG00000212978,0.7,0.006942381
POU5F1B,0.7,0.404532868
RPS15AP36,1.2,0.140138969
VN2R17P,0.5,0.552720879
PABPN1P1,0.3,0.652362994
ZNF611,-0.2,0.273361092
SYT3,-1.3,0.027109334
COX20P1,-2.1,3.97E-04
CFL1P4,-0.8,0.241593716
DENND1B,-0.3,0.385588884
RPL5P5,0.7,0.397323147
EEF1B2P7,0.7,0.418130639
C1orf220,-0.1,0.832895386
ENSG00000213058,-0.1,0.962723946
ENSG00000213062,-0.9,0.231993096
SFT2D2,1.6,4.03E-10
CEP43,-0.5,0.035966072
LPAL2,-0.2,0.766137961
CHP1P2,0.5,0.340110679
ENSG00000213078,-0.9,0.292143497
SCAF8,0.1,0.739020917
ENSG00000213080,-0.5,0.084725369
PPP1R14BP2,1.5,0.016178376
CFAP45,0.3,0.744208439
PDCL3P5,2,0.004705511
SCYL2P1,-0.5,0.588112457
ZNF254,0.4,0.349961572
DYNLT2B,-0.5,0.009605633
YWHAZP4,-0.5,0.594513594
ARF1P2,-0.6,0.470057532
CRYGS,0.1,0.874787104
ENSG00000213144,1.4,9.67E-04
CRIP1,-0.5,0.546698441
JPT1P1,-0.4,0.561124785
CNN2P9,-0.9,0.230671059
RPL7AP60,0.3,0.692292563
KLHL23,0.1,0.726562819
LINGO4,0.3,0.729399293
RPL22P1,0.7,0.114214612
ENSG00000213184,-0.6,0.311254141
FAM24B,-0.2,0.700454267
TRIM59,1,0.015183637
YBX1P4,-0.9,0.281281467
BTF3L4P2,-0.4,0.557439619
MLLT11,-1.5,1.88E-04
NUDCP1,0.2,0.681934387
ASIC3,0.2,0.354264914
GIMAP1,0.8,0.002598776
ENSG00000213204,-0.9,0.159169048
ENSG00000213209,0.8,0.17504526
NCLP1,0.2,0.761875797
TOMM40P4,-0.8,0.07810727
NOC2LP1,-0.1,0.820107469
RPL12P38,-0.6,0.463310257
ST13P10,1,0.203385323
YWHAZP2,-1.2,0.110190345
RPL12P42,1.2,0.124283466
EEF1B2P6,-1.1,0.151435863
ENSG00000213280,0.2,0.80344286
NRAS,0.3,0.256944465
PGK1P2,-0.6,0.213475687
ENSG00000213293,0.8,4.32E-04
HNRNPA3P6,0.5,0.173757715
ENSG00000213303,-0.4,0.662849083
ENSG00000213304,-0.2,0.84566071
HNRNPCP6,1.1,0.20817948
ENSG00000213315,0.8,0.099326341
LTC4S,0.1,0.798570211
RPS7P11,0.5,0.580122419
ENSG00000213328,-0.1,0.904308722
ENSG00000213331,-0.5,0.512615009
ANKRD39,-0.7,2.26E-05
QTRT1,-0.1,0.671894468
CHUK,0.4,0.12933544
MXD3,0.5,0.120491338
CNN2P8,0.7,0.393996695
ENSG00000213361,-0.4,0.680392929
FTH1P12,0.8,0.263675666
GSTM2,1.1,1.20E-04
NAP1L1P3,0.1,0.912186454
LINC00671,-1.6,0.049076584
GAPDHP71,0.4,0.68488176
COG8,0.2,0.249897254
ENSG00000213383,-0.6,0.073304323
ENSG00000213385,-0.6,0.375929743
ARHGAP19,1.3,5.96E-08
HAUS7,1,0.0341262
LCAT,1.2,0.007797548
MAGEA12,2,0.001316821
ANXA2P1,0.1,0.907912128
C1QBPP2,1,0.088913825
RBM22P2,0.3,0.521413477
PVRIG,0.1,0.915190617
GPC2,1.4,1.96E-05
KRT222,-1.2,8.92E-05
HSPD1P1,0.4,0.098816545
RPLP1P6,0.8,0.071869146
VTI1BP2,-0.6,0.535441369
ATP6V0CP3,-0.7,0.280463246
H2AZP1,1.5,0.065158363
RPL18AP3,0.7,0.019416782
SIPA1,1.4,5.86E-04
FTH1P3,1.3,0.067304436
ERV3-1,-0.1,0.786361725
SYNJ2BP,0.9,2.39E-04
ARL2,-0.4,0.080110483
FIRRE,1.8,2.12E-04
TTLL13P,-0.7,0.385973371
NT5C3AP1,-0.1,0.940734685
ACTN4P1,0.4,0.399476068
IMPDH1P5,-0.5,0.562926286
RBMXL1,0.8,0.011672761
ENSG00000213519,0.7,0.26114403
SRA1,-0.4,0.090438673
STIMATE,0.2,0.695836105
ENSG00000213542,-0.3,0.68320258
DNAJC9,-0.3,0.465072336
RPLP0P6,0.6,0.136200337
C8orf82,0.3,0.166404732
GTF3C6P2,0.8,0.014589657
VDAC1,-1.1,3.76E-10
PPIAP42,0.1,0.954090124
TMX2,-0.1,0.526047329
ENSG00000213598,-0.2,0.699638725
ENSG00000213600,0.4,0.595951891
SLC25A14P1,-0.6,0.395278742
RPL7AP50,0.5,0.549558255
FAM220CP,0.1,0.895065028
RPL11P3,0.6,0.223885646
HEXA,-0.1,0.555474786
NDUFS3,-0.6,9.46E-07
LEPROT,1.2,0.003224714
LBH,-1.8,2.16E-11
BOLA3P3,-0.4,0.615770143
ADAT3,0.5,0.331318986
PPP1CB,0.2,0.594501914
EEF1DP4,-0.6,0.139148496
ENSG00000213642,-1,0.197205807
ENSG00000213650,0.5,0.260094156
GPSM3,1.8,3.84E-05
LAT,-0.4,0.605007297
ENSG00000213663,-0.6,0.507902168
NCKIPSD,-1.1,0.004989512
SLC25A5P3,0.5,0.401893723
ATF6B,0.2,0.377074205
ENSG00000213683,-0.6,0.473016801
LDHBP2,0.2,0.555110227
SEC14L1P1,-0.3,0.642542594
S1PR3,1,0.00395035
SLC35F6,-0.2,0.451369202
RPL17P50,2.3,2.16E-04
PIGCP1,-0.3,0.659160726
FAM209B,-1.6,0.025049172
CLIC1,1.4,4.48E-07
DDAH2,1.1,2.50E-06
SERBP1P1,0.6,0.104913419
RPS29,0.5,0.016903534
ZNF337-AS1,0.1,0.88738844
CENPBD1P1,-0.5,0.001752534
RPS3AP20,1.3,0.083131841
ATP6V1G2,-1.3,4.36E-06
ZNF134,-0.3,0.026547751
ACTBP2,0.1,0.809125477
ENSG00000213774,-0.3,0.730295308
ENSG00000213777,0.2,0.797660906
DDX47,0.5,0.288776626
OLA1P1,-1.3,1.60E-04
ZNF888,0.6,0.063302858
ZNF845,0.2,0.486527604
ZNF321P,0.5,0.461309977
KLRK1,1.5,0.035544872
CNN2P4,-1.5,0.053332198
CFL1P5,0.6,0.512200458
TMX2P1,-0.4,0.28589217
SUGT1P2,-0.4,0.623866006
ENSG00000213846,-0.2,0.621459687
EMP2,1.3,7.45E-04
ACTBP15,0.4,0.641816898
KCTD11,1,1.66E-05
RPL21P75,1.2,0.155873242
ENSG00000213862,-0.4,0.520436637
ENSG00000213865,0.2,0.439748447
YBX1P10,1,0.002555105
TAF9BP1,0.5,0.574931117
RPL32P11,0.6,0.524656031
RPL7AP64,-1.8,0.015579201
NPM1P6,0.4,0.665753307
RPL13AP7,-0.7,0.3972143
LINC01521,-0.8,0.0261535
PPM1N,1.1,1.63E-06
RPL3P6,-0.4,0.669497195
SLC23A3,1,0.24323124
LTB4R,0.6,0.134861644
LTB4R2,0.3,0.7068987
DNASE1,0.4,0.084452688
MDP1,-0.5,0.555705205
CSNK1E,0.3,1.12E-05
IRF9,1.8,1.81E-19
GALT,-0.3,0.494724209
CLDN9,1.1,0.001822182
SEPHS1P6,-0.6,0.160717999
ENSG00000213939,0.5,0.362200598
ENSG00000213942,1,0.248603944
KRT18P17,-0.8,0.307168375
ITGA1,1.3,5.40E-04
ENSG00000213963,0.7,0.042019564
NUDT19,0.1,0.781505806
ZNF726,-0.2,0.741496876
ENSG00000213970,0.6,0.490123162
ZNF99,0.3,0.691991747
ENSG00000213976,0.4,0.416061245
TAX1BP3,1.4,5.01E-05
RPL7AP14,-0.1,0.937500102
ENSG00000213981,0.1,0.902493638
AP1G2,-0.2,0.586259641
ENSG00000213985,-0.3,0.476055951
ZNF90,0.4,0.603612054
ENSG00000213994,0.1,0.963148398
NAXD,-0.1,0.39839167
TM6SF2,-0.6,0.253094472
MEF2B,1.1,0.113594724
GANC,0.6,0.02163961
RRM2P3,0.8,0.371990009
TTLL3,0.7,0.005642428
REPIN1,0.4,1.39E-04
MRPL23,0.3,0.580315833
ARPC3P5,-0.4,0.544217421
ZNF891,0.5,0.146466881
LINC02418,0.1,0.904557279
PGAM1P4,-0.6,0.509033778
LINC02347,-1.4,0.00239115
SMIM7,-0.2,0.262412578
FBXO16,-1.8,4.75E-16
TSPAN4,0.9,0.003216778
ENSG00000214067,0.6,0.515620504
CPSF1P1,-1.1,0.04049587
GNAQP1,0.2,0.863683209
CPNE1,0.2,0.381811368
ARL16,-0.2,0.431006344
SMCO1,-0.5,0.600057833
PLAC9P1,1.2,0.02572987
WEE2,-0.9,0.245129632
PAXIP1-AS2,0.8,0.059956595
TPT1P5,0.4,0.642113588
LDHAP4,-1.3,0.003224714
LYRM4,-0.7,0.001064143
MYCBP,0.8,5.01E-04
PRDX1P1,0.4,0.606825233
TMEM213,-0.1,0.886349999
ENSG00000214135,-0.6,1.33E-04
PRCD,0.2,0.629423045
RPL7P60,-0.1,0.904485985
LINC02026,-0.7,0.402128222
ALG3,0.1,0.853484719
AMZ2P1,-0.2,0.409389956
PLEKHM1P1,-0.1,0.824695936
PTMAP5,0.9,0.021653782
GCC2-AS1,0.1,0.904858475
XPOTP1,0.2,0.722247056
ZNF788P,1,0.016030745
UBE2V1P2,-0.3,0.671035943
SH3D21,-0.9,0.043217973
SMIM30,0.9,0.003119004
TTC41P,0.8,0.083648207
EEF1A1P12,1.5,0.011955434
RPS4XP1,1.3,0.095249372
C19orf38,1.8,1.14E-05
IQCJ,0.4,0.64033627
HNRNPA1P10,2,0.010739648
C17orf67,0.6,0.142218137
SETP21,-0.3,0.769988938
FIS1,-0.2,0.297526357
RPSAP53,2.4,1.39E-04
KCTD9P4,0.8,0.319925698
LGMNP1,-0.8,0.172285514
ANG,1.3,0.022724976
SCART1,0.2,0.646947765
ENSG00000214280,1.3,0.101424909
COLCA2,0.8,0.022464417
APTR,0.5,0.019892496
SPDYE3,-1.1,8.25E-06
MBLAC1,-1,0.005164334
CBX1P2,0.1,0.960725484
PDPR2P,-0.1,0.801891603
SOGA3,0.7,0.457142378
VAC14-AS1,1.1,0.020675343
NEURL1B,0.6,0.134447744
RPL18P10,-0.5,0.566201385
HAUS3,0.1,0.741249111
CYB5AP2,-0.3,0.789337394
VSTM5,-2,2.17E-06
NFYBP1,0.3,0.714391674
LINC00488,0.1,0.942554075
RPS3AP26,0.9,0.051676132
TUBAP2,0.6,0.430727264
KANSL1-AS1,-0.1,0.895617414
LCNL1,1.3,1.37E-04
BBIP1,0.5,0.11738943
FAM149B1P1,0.6,0.187519583
LRRC37A4P,-0.7,0.084133264
VPS33B-DT,0.8,0.124598595
GOLGA2P8,0.4,0.629884303
AS3MT,0.3,0.722178154
FAM185BP,-0.1,0.897683426
RCN1P2,0.9,0.026455431
PLIN5,1.2,0.008200915
SMARCE1P6,0.7,0.249767736
RPL7P1,-0.1,0.900720221
SEC14L6,-0.1,0.909715489
SPINK13,0.7,0.404421264
PPME1,-1.2,2.43E-08
STARD10,-0.3,0.317367971
ZNF705E,0.8,0.331318986
RPS15AP1,0.6,0.465256594
GTF2IRD2P1,0.4,0.651547859
ENSG00000214546,-0.1,0.880348003
MEG3,-0.7,1.63E-04
SDHCP2,0.2,0.859676961
COPS8P2,-0.6,0.055515928
LRRC37A11P,-0.7,0.343591761
NUTM2D,0.2,0.684915154
CPEB1,-0.4,0.052837289
HMGN2P15,0.5,0.499038563
EML6,-1.1,2.10E-11
CTBP2P5,-1.1,0.174064761
ENSG00000214650,0.5,0.434697298
B3GALT9,1,0.002225554
ZSWIM8,0.1,0.78515409
KRT8P26,-1,0.019853539
C10orf105,2.7,6.99E-06
ARHGEF33,-1,1.39E-04
C12orf71,-0.7,0.426515454
IFRD2,0.3,0.315854786
ENSG00000214708,0.5,0.392095057
CAPN14,-0.7,0.23565131
ZBED1,0.1,0.551615306
ENSG00000214719,0.3,0.748932118
CDIPTOSP,-0.3,0.485590464
ENSG00000214748,0.7,0.352791228
HNRNPUL2,-0.4,0.00550168
CSKMT,-0.2,0.646674744
RPL21P1,1.1,0.183571903
SEPTIN7P2,-0.2,0.431065421
ENSG00000214770,-0.1,0.941067882
ENSG00000214773,1,0.247529281
ENSG00000214776,1.6,0.037165489
TUBA5P,-0.9,0.007306236
ENSG00000214803,-2,0.001104531
CYCSP55,-0.6,0.539193374
FER1L6,-0.3,0.695916105
MPRIPP1,0.6,0.441068856
DDX12P,0.2,0.847729906
MTCP1,0.2,0.820020323
UPF3AP2,0.8,0.380005714
LINC01347,1.5,0.049641415
RAD51AP2,-0.5,0.369124129
ZFYVE9P2,-0.4,0.681133525
ENSG00000214846,0.2,0.85343497
APOC1P1,1.6,0.035819205
SRSF9P1,-1,0.214677595
ENSG00000214870,-0.5,0.320618446
ENSG00000214888,-1.9,0.011511033
USP8P1,-0.8,0.324632275
LINC01588,0.2,0.782777896
HLA-F-AS1,-0.2,0.722900559
ZSWIM7,0.2,0.180571312
ARHGEF28,-0.6,0.018354094
TBC1D26,0.4,0.642542594
LRRC69,1.5,0.012530282
CRPPA,-0.5,0.104629295
NPIPA7,0.8,0.25516677
CHCHD3P3,0.4,0.619370472
PPIAP29,-1,0.200051657
RPL7AP26,0.3,0.729228385
CHCHD2P2,0.1,0.846694277
ACSM4,0.4,0.56151109
RTL10,-0.9,0.004661178
ENSG00000215014,-0.1,0.885010362
COL28A1,-0.6,0.048740029
PHB2,-0.4,0.130557221
ENSG00000215022,0.5,0.247581001
ENSG00000215023,-1.7,0.029426727
RPL13P12,-0.1,0.848168925
CD27-AS1,0.4,0.027755343
NEURL4,-0.5,0.346439345
GRID2IP,-0.3,0.566426515
ALOX12-AS1,0.7,0.001107377
ENSG00000215068,0.4,0.527987431
ENSG00000215097,0.6,0.483591921
TTC3P1,-1.1,5.49E-07
UBXN2B,-0.2,0.135300694
CBWD6,-1,9.90E-05
SYT14P1,1.5,0.063589951
ENSG00000215146,-0.7,0.191151253
ENSG00000215154,-0.5,0.242906062
ENSG00000215156,1.5,0.01302431
ENSG00000215158,1.3,0.00802569
ENSG00000215159,0.1,0.950548456
OR7E122P,0.5,0.551779682
ATXN7L3P1,-0.7,0.385109339
MUC5AC,-0.5,0.449915742
FAM166B,-0.4,0.551020224
LINC00680,-0.8,0.057405617
PEX26,-0.5,0.025996726
BASP1-AS1,-1,0.025612519
C5orf49,0.7,0.014945193
UBE2QL1,-1.5,8.66E-05
CYP51A1P3,0.9,0.319072246
ENSG00000215237,0.2,0.790340527
LINC02449,0.1,0.913994987
LINC02649,1.2,0.013661616
ENSG00000215246,0.3,0.687995271
FASTKD5,-0.8,3.89E-04
GOLGA8B,-0.1,0.839171227
DHRS4-AS1,0.2,0.233420136
HOMEZ,0.6,8.45E-04
RNF212B,0.3,0.781814216
HMGB3P24,0.5,0.507612781
DDX3X,0.1,0.653120005
ENSG00000215302,0.8,0.228724359
VPS16,-0.3,0.384329316
ASS1P10,-0.6,0.482641955
SLC25A5P1,0.5,0.510230201
MRPL3P1,-0.8,0.015707811
FAM66B,-0.7,0.17666851
MYL5,-0.2,0.461234429
MIR99AHG,0.3,0.386372707
ACTG1P3,0.2,0.847924167
SCRT2,-2.6,6.29E-09
PSMA6P1,-0.3,0.235794602
MIR17HG,1,0.217950244
ZNF407,-0.4,0.209688439
MCM3AP-AS1,-0.1,0.752110613
NPEPL1,0.6,0.012085966
CTAGE12P,-1,0.211425912
ENSG00000215450,1.6,0.050818113
ZNF663P,1.6,0.006520301
AATBC,0.3,0.461309977
SIAH3,-1,0.126893872
CES5AP1,-0.6,0.415301453
BCRP3,2.1,0.006599846
CALM2P3,-2.1,0.004776779
LINC00598,1.3,0.010224918
ENSG00000215493,0.3,0.547809849
FRG1JP,1.5,0.040502313
ANKRD20A11P,-1.7,0.009992695
GRK6P1,-0.4,0.464360388
BCORP1,0.8,0.394725122
C20orf202,-0.2,0.830425957
HMX1,0.8,0.054386737
GUSBP9,2.1,6.34E-04
CELA2B,-1.9,0.002916668
TMEM242,-0.7,2.98E-04
TMEM167B,0.3,0.293918346
ARHGAP27P1-BPTFP1-KPNA2P3,0.6,0.202505833
FAM72D,-0.8,0.380200828
TNFRSF25,-0.7,0.08786713
SLC35E2A,-0.5,0.042395859
ENSG00000215795,-0.2,0.799832295
LINC01139,0.1,0.890704535
ZC3H11B,-0.1,0.930487792
ENSG00000215835,-0.1,0.804642607
ENSG00000215838,0.8,0.321061319
ENSG00000215840,0.3,0.777783986
TSTD1,-0.5,0.281314175
PDZK1P1,-1,0.016316149
ENSG00000215861,-0.5,0.198034014
KRT18P57,0.7,0.448479061
CYB5RL,0.2,0.509862363
CROCCP2,0.3,0.038233005
TTC34,-0.7,0.092014331
ATAD3C,1.3,1.37E-08
ENSG00000216360,-0.8,0.383323259
RPSAP43,0.5,0.523157145
GAPDHP72,-0.4,0.574753147
GLRX3P2,-0.6,0.239019183
HMGA1P7,0.3,0.728796887
ENSG00000216775,-0.5,0.153244744
ENSG00000216802,0.2,0.757012885
ENSG00000216809,-0.2,0.810350071
TUBB2BP1,-0.5,0.558709514
LY86-AS1,-1.6,7.70E-05
ENSG00000216895,-0.1,0.805180824
ZNF603P,-0.7,0.324264664
ENSG00000216906,-0.4,0.601532833
FAM240C,0.6,0.183181379
CCDC7,0.7,0.084910174
HSPD1P10,-0.8,0.386313277
TPT1P4,1.3,0.075299032
PPIAP31,0.3,0.737583295
FNIP1,0.3,0.467502708
ENSG00000217130,-0.1,0.92929232
ANKRD18EP,-0.8,0.082903839
SP9,-1,0.005748149
ENSG00000217239,0.2,0.776313956
CBX3P9,-0.9,0.04534815
ENSG00000217275,0.4,0.618252259
ENSG00000217289,-0.7,0.382882457
DDX18P3,0.4,0.69316186
SYCE3,0.5,0.560740654
ENSG00000217455,-1.5,0.062675331
ENSG00000217488,-0.2,0.819265146
ENSG00000217512,1.1,0.205633176
CKLF,0.3,0.715635734
PTGES3P2,-0.5,0.195831281
ENSG00000217648,-0.7,0.14037318
